"Constant","Fixe"
"Conversion Color","Couleur de conversion"
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","%1 n'est pas une valeur valide pour la couleur de conversion. Veuillez renseigner une valeur héxadécimal sur 6 chiffres."
"Conversion Format","Format de conversion"
"Conversion ID","ID de conversion"
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","""%1"" n'est pas une valeur valide pour l'ID de conversion. L'ID de conversion doit être un entier."
"Conversion Label","Libellé de conversion"
"Conversion Language","Langue de Conversion"
"Conversion Value","Valeur de conversion"
"Conversion Value Type","Type de valeur de conversion"
"Dynamic","Dynamique"
"Enable","Activer"
"Google AdWords","Google AdWords"
