"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Cocher &quot;Se souvenir de moi&quot; pour accéder à votre panier sur cet ordinateur même si vous n'êtes pas connecté à votre compte."
"Clear Persistence on Sign Out","Ne plus se souvenir de moi lors de la déconnexion"
"Enable Persistence","Activer la persistance"
"Enable ""Remember Me""","Activer ""Se souvenir de moi"""
"General Options","Options générales"
"Method ""%1"" is not defined in ""%2""","La méthode ""%1"" n'est pas définie dans ""%2"""
"Not you?","Ce n'est pas vous ?"
"Persistence Lifetime (seconds)","Durée de vie de la persistance (secondes)"
"Persistent Shopping Cart","Panier Persistant"
"Persist Shopping Cart","Panier Persistant"
"Remember Me","Se souvenir de moi"
"""Remember Me"" Default Value","Valeur par Défaut du ""Se Souvenir de Moi"""
"To check out, please sign in using your email address.","Pour commander, veuillez vous connecter en utilisant votre adresse email."
"We cannot load the configuration from file %1.","Nous ne pouvons pas charger la configuration à partir du fichier %1."
"Welcome, %1!","Bienvenu, %1 !"
"What's this?","Qu'est-ce que c'est ?"
"Your shopping cart has been updated with new prices.","Votre panier a été mis à jour avec les nouveaux prix."
