"Authentication header format is invalid.","Le format d'en-tête d'authentification est invalide."
"Authentication header is absent.","L'en-tête d'authentification est manquant."
"Cannot perform GET operation with store code 'all'","Impossible d'effectuer l'opération GET avec le code Magasin 'all'"
"Default Response Charset","Charset de réponse par défaut"
"If empty, UTF-8 will be used.","Si vide, l'UTF-8 sera utilisé."
"Invalid XML","XML invalide."
"Invalid XML: Detected use of illegal DOCTYPE","XML invalide: Détection d'une utilisation illégale de DOCTYPE"
"Magento Web API","API Web Magento"
"Message","Message"
"message","message"
"Not allowed parameters: %1. Please use only %2 and %3.","Paramètres non autorisés: %1. Veuillez utiliser uniquement %2 et %3."
"Operation ""%1"" not found.","L'opération ""%1"" est introuvable."
"Operation allowed only in HTTPS","Opération autorisée uniquement en HTTPS"
"Request does not match any route.","La requête ne correspond à aucune route."
"Requested service is not available: ""%1""","Le service demandé n'est pas dispobible: ""%1"""
"REST and SOAP configurations, generated WSDL file.","Configurations REST et SOAP, fichier WSDL généré."
"SOAP extension is not loaded.","L'extension SOAP n'est pas chargée."
"SOAP Settings","Paramètres SOAP"
"Web Services Configuration","Configuration des Web Services"
